Subject,Url
Auditing,https://www.barnesandnoble.com//b/textbooks/accounting/auditing/_/N-8q9Ztsf;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
Bookkeeping,https://www.barnesandnoble.com//b/textbooks/accounting/bookkeeping/_/N-8q9Ztsk;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
Corporate Accounting,https://www.barnesandnoble.com//b/textbooks/accounting/corporate-accounting/_/N-8q9Ztse;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
CPA Study Guides,https://www.barnesandnoble.com//b/textbooks/accounting/cpa-study-guides/_/N-8q9Ztsl;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
Financial Accounting,https://www.barnesandnoble.com//b/textbooks/accounting/financial-accounting/_/N-8q9Ztsg;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
General Accounting,https://www.barnesandnoble.com//b/textbooks/accounting/general-accounting/_/N-8q9Ztsh;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
Governmental & Nonprofit Accounting,https://www.barnesandnoble.com//b/textbooks/accounting/governmental-nonprofit-accounting/_/N-8q9Ztsi;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
Industry-Specific Accounting,https://www.barnesandnoble.com//b/textbooks/accounting/industry-specific-accounting/_/N-8q9Ztsc;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
International Accounting,https://www.barnesandnoble.com//b/textbooks/accounting/international-accounting/_/N-8q9Ztsd;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
Managerial Accounting,https://www.barnesandnoble.com//b/textbooks/accounting/managerial-accounting/_/N-8q9Ztsm;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
Professional Accounting & Reference,https://www.barnesandnoble.com//b/textbooks/accounting/professional-accounting-reference/_/N-8q9Ztsj;jsessionid=4DAC0308E5414B61B209B08B2A9C1A64.prodny_store01-va04
