subject,url
accounting,https://www.barnesandnoble.com/b/textbooks/business/accounting/_/N-8q9Ztsb
economics,https://www.barnesandnoble.com/b/textbooks/business/economics/_/N-8q9Ztka
marketing-sales,https://www.barnesandnoble.com/b/textbooks/business/marketing-sales/_/N-8q9Ztou
real-estate,https://www.barnesandnoble.com/b/textbooks/business/real-estate/_/N-8q9Ztrl
human-resources,https://www.barnesandnoble.com/b/textbooks/business/human-resources/_/N-8q9Ztml
professional-finance-investing,https://www.barnesandnoble.com/b/textbooks/business/professional-finance-investing/_/N-8q9Ztpu
business-technology,https://www.barnesandnoble.com/b/textbooks/business/business-technology/_/N-8q9Ztjq
international-business,https://www.barnesandnoble.com/b/textbooks/business/international-business/_/N-8q9Ztmw
agricultural-sciences,https://www.barnesandnoble.com/b/textbooks/science-technology/agricultural-sciences/_/N-8q9Z189s
applied-science,https://www.barnesandnoble.com/b/textbooks/science-technology/applied-science/_/N-8q9Z18hn
astronomy,https://www.barnesandnoble.com/b/textbooks/science-technology/astronomy/_/N-8q9Z18b5
biology-life-sciences,https://www.barnesandnoble.com/b/textbooks/science-technology/biology-life-sciences/_/N-8q9Z18br
chemistry,https://www.barnesandnoble.com/b/textbooks/science-technology/chemistry/_/N-8q9Z18dk
earth-science,https://www.barnesandnoble.com/b/textbooks/science-technology/earth-science/_/N-8q9Z18ej
engineering,https://www.barnesandnoble.com/b/textbooks/science-technology/engineering/_/N-8q9Z2bxy
history-philosophy-of-science,https://www.barnesandnoble.com/b/textbooks/science-technology/history-philosophy-of-science/_/N-8q9Z18iq
ecology-environmental-sciences,https://www.barnesandnoble.com/b/textbooks/science-technology/ecology-environmental-sciences/_/N-8q9Z18fe
mathematics,https://www.barnesandnoble.com/b/textbooks/science-technology/mathematics/_/N-8q9Z18j7
physics,https://www.barnesandnoble.com/b/textbooks/science-technology/physics/_/N-8q9Z18gq
technology,https://www.barnesandnoble.com/b/textbooks/science-technology/technology/_/N-8q9Z2c2x
theories-of-science,https://www.barnesandnoble.com/b/textbooks/science-technology/theories-of-science/_/N-8q9Z18ix
computers,https://www.barnesandnoble.com/b/textbooks/computers/_/N-8q9Zug4
architecture,https://www.barnesandnoble.com/b/textbooks/art-architecture-photography/architecture/_/N-8q9Zs9j
photography,https://www.barnesandnoble.com/b/textbooks/art-architecture-photography/photography/_/N-8q9Zsdt
design,https://www.barnesandnoble.com/b/textbooks/art-fashion-decorative-arts-design/design/_/N-8q9Zsbz
education,https://www.barnesandnoble.com/b/textbooks/education/_/N-8q9Zzmg
law,https://www.barnesandnoble.com/b/textbooks/law/_/N-8q9Z1f68
history,https://www.barnesandnoble.com/b/textbooks/history/_/N-8q9Z11km
music,https://www.barnesandnoble.com/b/textbooks/music-film-performing-arts/music/_/N-8q9Z1bl4
film,https://www.barnesandnoble.com/b/textbooks/music-film-performing-arts/film/_/N-8q9Z1034
theater,https://www.barnesandnoble.com/b/textbooks/music-film-performing-arts/theater/_/N-8q9Z107i
medicine-nursing,https://www.barnesandnoble.com/b/textbooks/medicine-nursing/_/N-8q9Z167w
psychology,https://www.barnesandnoble.com/b/textbooks/psychology/_/N-8q9Z1fcc
philosophy,https://www.barnesandnoble.com/b/textbooks/philosophy/_/N-8q9Z1fe7
current-affairs-politics,https://www.barnesandnoble.com/b/textbooks/current-affairs-politics/_/N-8q9Z16st
religion,https://www.barnesandnoble.com/b/textbooks/religion/_/N-8q9Z17d6
social-sciences,https://www.barnesandnoble.com/b/textbooks/social-sciences/_/N-8q9Z18q3
